Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US11228,11228,6485,62988,6279,33437,4474
860Z200US11229,11229,8044,117835,13425,63123,9813
860Z200US11230,11230,10983,111972,14503,65381,11171
860Z200US11231,11231,3031,53917,3615,48832,9242
860Z200US11232,11232,6682,32893,3811,17850,2995
860Z200US11233,11233,9413,120499,15095,48707,7448
860Z200US11234,11234,8082,132079,17935,63330,10298
860Z200US11235,11235,7426,128893,14084,81923,13543
860Z200US11236,11236,8947,147617,23909,54092,6711
860Z200US11237,11237,8646,61744,7341,39398,3466
860Z200US11238,11238,3273,90778,6317,82548,14842
860Z200US11239,11239,1894,26419,3388,7780,1182
860Z200US11249,11249,4607,54788,4796,43520,6637
860Z200US11354,11354,9767,80389,9799,35045,4662
860Z200US11355,11355,19683,105904,13276,38466,5387
860Z200US11356,11356,4368,36230,5611,12320,1572
860Z200US11357,11357,4972,62727,8248,30891,4692
860Z200US11358,11358,5000,54569,7327,27048,4075
860Z200US11359,11359,0,0,0,0,0
860Z200US11360,11360,1875,30783,3549,20517,4161
860Z200US11361,11361,2776,43467,5718,26776,4760
860Z200US11362,11362,1220,29598,3845,20383,3221
860Z200US11363,11363,619,10283,1358,7882,1509
860Z200US11364,11364,3795,54184,6371,35135,5461
860Z200US11365,11365,5146,64635,9754,33345,4823
860Z200US11366,11366,1389,18807,2438,13512,2076
860Z200US11367,11367,4597,55559,7395,32947,5311
860Z200US11368,11368,28239,124243,18027,29517,2343
860Z200US11369,11369,5196,45335,6437,13755,1685
860Z200US11370,11370,5738,39883,4383,14471,1770
860Z200US11371,11371,0,0,0,0,0
860Z200US11372,11372,9867,96682,11527,44055,8009
860Z200US11373,11373,19553,130795,15345,61657,5975
860Z200US11374,11374,3608,71553,8315,48873,7634
860Z200US11375,11375,3868,118742,11670,93616,17211
860Z200US11377,11377,12503,128878,14098,56930,6903
860Z200US11378,11378,4322,55498,8745,20257,2224
860Z200US11379,11379,4196,57399,7464,27432,4069
860Z200US11385,11385,12678,149935,20630,67941,7994
860Z200US11411,11411,1396,34566,6185,13701,2309
860Z200US11412,11412,3492,62456,10783,19671,2635
860Z200US11413,11413,3148,68812,12244,23610,3812
860Z200US11414,11414,2852,46175,6789,18313,2965
860Z200US11415,11415,1939,30018,3677,20320,3567
860Z200US11416,11416,4563,34746,5421,13549,1279
860Z200US11417,11417,4710,39722,6512,15033,2085
860Z200US11418,11418,5740,50570,7335,21225,3058
860Z200US11419,11419,9961,64591,9257,19653,2282
860Z200US11420,11420,8957,71386,11085,22225,2484
860Z200US11421,11421,6608,55387,8450,21608,2302
860Z200US11422,11422,2844,49621,8815,19099,2561
860Z200US11423,11423,3412,43619,7035,20506,2624
860Z200US11424,11424,0,0,0,0,0
860Z200US11426,11426,1796,29477,4258,16737,2272
860Z200US11427,11427,3287,35724,5575,17266,2609
860Z200US11428,11428,2753,28688,4433,11072,1269
860Z200US11429,11429,3297,40594,6778,14335,2006
860Z200US11430,11430,43,462,100,48,6
860Z200US11432,11432,9150,83291,12859,44915,5891
860Z200US11433,11433,6106,49015,8908,12339,1198
860Z200US11434,11434,7003,97928,18458,28094,3640
860Z200US11435,11435,8868,77957,12648,37242,5266
860Z200US11436,11436,2547,31269,4848,9198,1127
860Z200US11439,11439,0,274,1728,68,0
860Z200US11451,11451,0,0,0,0,0
860Z200US11501,11501,1957,32444,3463,22767,3923
860Z200US11507,11507,361,10460,994,8503,1600
860Z200US11509,11509,34,2840,348,2045,374
860Z200US11510,11510,1826,52488,8807,27747,4833
860Z200US11514,11514,160,7274,845,4617,678
860Z200US11516,11516,144,10923,2283,5815,1370
860Z200US11518,11518,595,15664,1950,8490,1455
860Z200US11520,11520,5568,63631,9745,22972,3102
860Z200US11530,11530,803,37901,3973,32965,6675
860Z200US11542,11542,3164,41212,5226,23496,3643
860Z200US11545,11545,331,17516,1873,14303,2948
860Z200US11547,11547,33,811,142,679,79
860Z200US11548,11548,60,2160,895,1862,282
860Z200US11549,11549,0,702,1684,191,5
860Z200US11550,11550,10603,76359,12613,19779,2926
